cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_7.json;10646,67;8307,86;1,2815;2223,25;200;219,69
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_8.json;8993,60;8150,81;1,1034;2391,26;200;220,65
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_9.json;8330,13;8034,06;1,0369;1553,75;200;210,70
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_1.json;2977,67;2513,55;1,1846;86,20;200;89,27
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_10.json;2689,55;2470,01;1,0889;102,72;200;83,07
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_2.json;2421,26;2113,63;1,1455;206,60;200;85,87
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_3.json;2842,13;2390,86;1,1888;0,00;200;87,43
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_4.json;2516,16;2226,39;1,1302;0,00;200;86,51
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_5.json;2210,60;2210,60;1,0000;168,18;200;84,71
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_6.json;2380,60;2290,51;1,0393;81,48;200;85,29
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_7.json;2331,34;2053,51;1,1353;13,64;200;85,08
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_8.json;2949,62;2404,34;1,2268;50,03;200;81,07
HHLHLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLL\HHLHLLL_9.json;2513,77;2073,77;1,2122;208,54;200;81,64
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_1.json;10759,72;8551,05;1,2583;1076,50;200;2467,15
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_10.json;11534,30;8581,10;1,3442;1205,43;200;2347,05
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_2.json;10835,61;8506,50;1,2738;1432,33;200;2305,43
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_3.json;10951,22;8290,78;1,3209;1364,36;200;2268,68
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_4.json;11240,67;8571,23;1,3114;1479,87;200;2263,93
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_5.json;10828,46;8588,26;1,2608;1616,29;200;2271,51
HHLLHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLLHHH\HHLLHHH_6.json;11107,15;8396,92;1,3228;1416,74;200;3198,67
